,title,description,web_url,category,origen,notes_ca,url_busqueda_ca,organization_parent_name_ca
16,Indicadors de gestió de la ciutat de L'Hospitalet als Cercles de comparació intermunicipals de la Diputació de Barcelona (2014-2020),"Valors corresponents als indicadors de l'Ajuntament de L'Hospitalet en el projecte dels Cercles de comparació intermunicipals de la Diputació de Barcelona comparats amb la mitjana dels municipis de més de 75.000 habitants que participen en cada cercle.
Les dades relatives als anys 2014-2019 d'aquest fitxer invaliden les versions anteriors d'aquest conjunt de dades. La Diputació de Barcelona realitza una tasca de revisió permanent de les dades i és possible que algun valor del període 2014-2019 s'hagi modificat com a conseqüència del procés de depuració.",https://opendata.l-h.cat/Sector-públic/Indicadors-de-gestió-de-la-ciutat-de-L-Hospitalet-/ycyf-576z,Sector públic,hospitalet,,,
17,BiciBox,Relació de les ubicacions i ocupacions de BiciBox.,https://opendata.l-h.cat/Transport/BiciBox/qjcy-xqxx,Transport,hospitalet,,,
18,Calendari laboral de L'Hospitalet,Calendari de dies festius,https://opendata.l-h.cat/Sector-Públic/Calendari-laboral-de-L-Hospitalet/eyp9-9xit,Sector Públic,hospitalet,,,
19,"Població per territori, sexe i grup d'edat (dades mensuals)","Evolució del nombre de persones empadronades a la ciutat per districte, barri, secció, grup d'edat i sexe segons el padró municipal provisional a final de cada mes.",https://opendata.l-h.cat/Demografia/Població-per-territori-sexe-i-grup-d-edat-dades-me/d8bf-riyu,Demografia,hospitalet,,,
20,Mapa  dels districtes (fins al 2021),Mapa amb les delimitacions dels districtes de L'Hospitalet,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-dels-districtes-fins-al-2021-/v98y-nste,Urbanisme i infraestructures,hospitalet,,,
21,Adreces postals,Relació de les adreces postals vàlides de la ciutat.,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Adreces-postals/gdc2-dy8i,Urbanisme i infraestructures,hospitalet,,,
22,Població per nacionalitat i lloc de naixement (dades mensuals),Població a final de cada mes per nacionalitat i lloc de naixement.,https://opendata.l-h.cat/Demografia/Població-per-nacionalitat-i-lloc-de-naixement-dade/2rqr-s6wd,Demografia,hospitalet,,,
23,Mapa amb la localització de les escoles bressol i llar d'infants,Mapa amb la localització de les escoles bressol i llars d'infants i la delimitació dels barris,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-amb-la-localització-de-les-escoles-bressol-i-/qny7-pfej,Urbanisme i infraestructures,hospitalet,,,
24,Incidències de neteja finalitzades (2016-2021),Incidències de neteja finalitzades entre els anys 2016 i 2021.,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Incidències-de-neteja-finalitzades-2016-2021-/4qzw-28zi,Urbanisme i infraestructures,hospitalet,,,
25,Execució del pressupost d'ingressos,"Execució del pressupost d'ingressos (dades mensuals)
Les dades d'execució fan referència a l'últim dia del mes.",https://opendata.l-h.cat/Sector-públic/Execució-del-pressupost-d-ingressos/utmw-9atv,Sector públic,hospitalet,,,
26,Qualitat de l'aire,Paràmetres mesurats de qualitat de l'aire.,https://opendata.l-h.cat/Medi-ambient/Qualitat-de-l-aire/csm2-emdb,Medi ambient,hospitalet,,,
27,Agenda institucional,Agenda d'actes dels Regidors.,https://opendata.l-h.cat/dataset/Agenda-institucional/ex5p-brb6,-,hospitalet,,,
28,Mapa de les seccions censals (fins al 2021),Mapa amb les delimitacions de les seccions censals de L'Hospitalet,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Mapa-de-les-seccions-censals-fins-al-2021-/udv7-j5a9,Urbanisme i infraestructures,hospitalet,,,
29,Gràfic dels resultats a les eleccions municipals de 2015,Evolució dels resultats a les eleccions municipals amb la distribució del nombre de regidors,https://opendata.l-h.cat/Sector-públic/Gràfic-dels-resultats-a-les-eleccions-municipals-d/qarv-h27i,Sector públic,hospitalet,,,
30,Població per edat i sexe (dades mensuals),"Evolució de la població per districtes, barris, edat i sexe segons el padró municipal amb dades a final de cada mes.",https://opendata.l-h.cat/Demografia/Població-per-edat-i-sexe-dades-mensuals-/ykct-kr3y,Demografia,hospitalet,,,
31,Divisió territorial,"Divisió territorial de la ciutat (districtes, barris, zones educatives, codis postals, ...).",https://opendata.l-h.cat/Urbanisme-i-infraestructures/Divisió-territorial/ia8b-x958,Urbanisme i infraestructures,hospitalet,,,
32,Mapa de localització de les parades de taxi,Localització de les parades de taxi de la ciutat amb indicació de la seva capacitat.,https://opendata.l-h.cat/Transport/Mapa-de-localització-de-les-parades-de-taxi/7qvj-34mm,Transport,hospitalet,,,
33,Entitats registrades al Registre Municipal d'Entitats,Relació d'entitats registrades al Registre Municipal d'Entitats,https://opendata.l-h.cat/Societat-i-benestar/Entitats-registrades-al-Registre-Municipal-d-Entit/7gyi-qztc,Societat i benestar,hospitalet,,,
34,Mapa amb la localització de les farmàcies,Mapa amb la localització de les farmàcies de L'Hospitalet,https://opendata.l-h.cat/Salut/Mapa-amb-la-localització-de-les-farmàcies/ci3i-dujm,Salut,hospitalet,,,
35,Evolució dels resultats a les eleccions municipals,Evolució dels resultats a les eleccions municipals amb la distribució del nombre de regidors,https://opendata.l-h.cat/Sector-públic/Evolució-dels-resultats-a-les-eleccions-municipals/rgty-dgrr,Sector públic,hospitalet,,,
36,Escoles bressol,Escoles bressol del municipi,https://opendata.l-h.cat/Educació/Escoles-bressol/fn79-ixb4,Educació,hospitalet,,,
37,Execució del pressupost de despeses (exercicis anteriors),Execució del pressupost de despeses d'exercicis tancats.,https://opendata.l-h.cat/Sector-públic/Execució-del-pressupost-de-despeses-exercicis-ante/bta8-2g8c,Sector públic,hospitalet,,,
38,Farmàcies,Farmàcies existents a la ciutat,https://opendata.l-h.cat/Salut/Farmàcies/7kue-y52m,Salut,hospitalet,,,
39,Gràfic del pressupost inicial de l'any 2017. Qui fa la despesa ?,Pressupost inicial de l'any 2017 segons classificació orgànica,https://opendata.l-h.cat/Sector-públic/Gràfic-del-pressupost-inicial-de-l-any-2017-Qui-fa/c8ej-842s,Sector públic,hospitalet,,,
40,Calendari del contribuent,Calendari del contribuent. Període voluntari i dia de càrrec de rebuts domiciliats.,https://opendata.l-h.cat/Hisenda/Calendari-del-contribuent/62zw-26gc,Hisenda,hospitalet,,,
41,Gràfic del pressupost inicial de l'any 2017 per política de despesa,Pressupost inicial de l'any 2017 per política de despesa,https://opendata.l-h.cat/Sector-públic/Gràfic-del-pressupost-inicial-de-l-any-2017-per-po/463a-r9e5,Sector públic,hospitalet,,,
42,Gràfic del pressupost inicial de l'any 2017. D'on venen els diners ?,Pressupost inicial de l'any 2017. D'on venen els diners ?,https://opendata.l-h.cat/Sector-públic/Gràfic-del-pressupost-inicial-de-l-any-2017-D-on-v/tept-82cb,Sector públic,hospitalet,,,
43,Parades de taxi,Localització de les parades de taxi de la ciutat amb indicació de la seva capacitat.,https://opendata.l-h.cat/Transport/Parades-de-taxi/dy4x-8tkn,Transport,hospitalet,,,
44,Incidències de neteja finalitzades de l'any actual,Incidències de neteja finalitzades de l'any en curs,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Incidències-de-neteja-finalitzades-de-l-any-actual/wkg5-y6jf,Urbanisme i infraestructures,hospitalet,,,
45,Modificacions de crèdit de l'exercici 2017,Modificacions de crèdit realitzades sobre les partides comptables de l'exercici 2017.,https://opendata.l-h.cat/Sector-públic/Modificacions-de-crèdit-de-l-exercici-2017/89z9-v2vu,Sector públic,hospitalet,,,
46,Contenidors per a la recollida selectiva de residus,Ubicació dels contenidors per a la recollida selectiva de residus.,https://opendata.l-h.cat/Urbanisme-i-infraestructures/Contenidors-per-a-la-recollida-selectiva-de-residu/hddx-n5hs,Urbanisme i infraestructures,hospitalet,,,
47,Eleccions al Parlament de Catalunya desembre 2017 (resultats),Resultats definitius de les candidatures a les eleccions al Parlament de Catalunya del 21 de desembre del 2017.,https://opendata.l-h.cat/Sector-públic/Eleccions-al-Parlament-de-Catalunya-desembre-2017-/at85-d5tc,Sector públic,hospitalet,,,
48,Execució del pressupost d'ingressos (exercicis anteriors),Execució del pressupost d'ingressos d'exercicis tancats.,https://opendata.l-h.cat/Sector-públic/Execució-del-pressupost-d-ingressos-exercicis-ante/vhgn-zj6m,Sector públic,hospitalet,,,
49,Dades obertes en temps real,Ítems de dades obertes que s'actualitzen amb alta periodicitat.,https://opendata.l-h.cat/Sector-públic/Dades-obertes-en-temps-real/9yhy-eu66,Sector públic,hospitalet,,,
50,Eleccions Generals juny 2016 (Resultats),Resultats definitius de les Eleccions Generals de juny del 2016.,https://opendata.l-h.cat/Sector-Públic/Eleccions-Generals-juny-2016-Resultats-/uyc5-xaxf,Sector Públic,hospitalet,,,
51,Enquesta sobre els barris de L'Hospitalet 2017,Totes les entrevistes amb les respostes de l'enquesta,https://opendata.l-h.cat/Sector-públic/Enquesta-sobre-els-barris-de-L-Hospitalet-2017/er2h-a4ed,Sector públic,hospitalet,,,
52,Calendari del contribuent de l'any 2018,Calendari del contribuent. Període voluntari i dia de càrrec de rebuts domiciliats.,https://opendata.l-h.cat/Hisenda/Calendari-del-contribuent-de-l-any-2018/jczq-4tzp,Hisenda,hospitalet,,,
53,Indicadors estadístics de nivell i distribució de renda,"Indicadors estadístics de nivell i distribució de renda de les llars a nivell municipal, districte i secció cendal a partir de l'enllaç d'informació de l'INE amb dades tributàries de l'AEAT amb població del padró d'habitants a 31 de desembre i dades de territori.
Descripció del projecte: https://www.ine.es/experimental/atlas/exp_atlas_proyecto.pdf",https://opendata.l-h.cat/Economia/Indicadors-estadístics-de-nivell-i-distribució-de-/ri9k-q5si,Economia,hospitalet,,,
54,"Parades de metro, ferrocarril i TRAM","Relació de parades de metro, FFCC, Renfe i TRAM de la ciutat",https://opendata.l-h.cat/Transport/Parades-de-metro-ferrocarril-i-TRAM/uytu-3eym,Transport,hospitalet,,,
55,Eleccions municipals maig 2015 (resultats),Resultats definitius de les candidatures a les eleccions municipals de maig del 2015.,https://opendata.l-h.cat/Sector-Públic/Eleccions-municipals-maig-2015-resultats-/ynpy-gj8a,Sector Públic,hospitalet,,,
